format	1
_private.NumStability.Algorithms.LeastSquares.Higham20Equations.NumStability.higham20Eq20_19_abs_minus_le_balanced_of_balanced_le_alpha	_private.NumStability.Algorithms.LeastSquares.Higham20Equations.0.NumStability.higham20Eq20_19_abs_minus_le_balanced_of_balanced_le_alpha	_private.NumStability.Source.Higham.Chapter20.Equations.0.NumStability.higham20Eq20_19_abs_minus_le_balanced_of_balanced_le_alpha
_private.NumStability.Algorithms.LeastSquares.Higham20Equations.NumStability.higham20Eq20_19_plus_div_antitone_until_balanced	_private.NumStability.Algorithms.LeastSquares.Higham20Equations.0.NumStability.higham20Eq20_19_plus_div_antitone_until_balanced	_private.NumStability.Source.Higham.Chapter20.Equations.0.NumStability.higham20Eq20_19_plus_div_antitone_until_balanced
_private.NumStability.Algorithms.LeastSquares.Higham20Equations.NumStability.higham20Eq20_19_plus_mono_alpha	_private.NumStability.Algorithms.LeastSquares.Higham20Equations.0.NumStability.higham20Eq20_19_plus_mono_alpha	_private.NumStability.Source.Higham.Chapter20.Equations.0.NumStability.higham20Eq20_19_plus_mono_alpha
_private.NumStability.Algorithms.LeastSquares.Higham20ExampleCondition.NumStability.higham20_delta_example_A_rectOpNorm2Le_one	_private.NumStability.Algorithms.LeastSquares.Higham20ExampleCondition.0.NumStability.higham20_delta_example_A_rectOpNorm2Le_one	_private.NumStability.Source.Higham.Chapter20.Examples.Condition.0.NumStability.higham20_delta_example_A_rectOpNorm2Le_one
_private.NumStability.Algorithms.LeastSquares.Higham20ExampleCondition.NumStability.higham20_delta_example_Aplus_rectOpNorm2Le	_private.NumStability.Algorithms.LeastSquares.Higham20ExampleCondition.0.NumStability.higham20_delta_example_Aplus_rectOpNorm2Le	_private.NumStability.Source.Higham.Chapter20.Examples.Condition.0.NumStability.higham20_delta_example_Aplus_rectOpNorm2Le
_private.NumStability.Algorithms.LeastSquares.Higham20ExampleCondition.NumStability.higham20_delta_example_DeltaA_rectOpNorm2Le	_private.NumStability.Algorithms.LeastSquares.Higham20ExampleCondition.0.NumStability.higham20_delta_example_DeltaA_rectOpNorm2Le	_private.NumStability.Source.Higham.Chapter20.Examples.Condition.0.NumStability.higham20_delta_example_DeltaA_rectOpNorm2Le
_private.NumStability.Algorithms.LeastSquares.Higham20GeneralWedin.NumStability.higham20GeneralRankCounterexampleA	_private.NumStability.Algorithms.LeastSquares.Higham20GeneralWedin.0.NumStability.higham20GeneralRankCounterexampleA	_private.NumStability.Source.Higham.Chapter20.Examples.GeneralRank.0.NumStability.higham20GeneralRankCounterexampleA
_private.NumStability.Algorithms.LeastSquares.Higham20GeneralWedin.NumStability.higham20GeneralRankCounterexampleAplus	_private.NumStability.Algorithms.LeastSquares.Higham20GeneralWedin.0.NumStability.higham20GeneralRankCounterexampleAplus	_private.NumStability.Source.Higham.Chapter20.Examples.GeneralRank.0.NumStability.higham20GeneralRankCounterexampleAplus
_private.NumStability.Algorithms.LeastSquares.Higham20GeneralWedin.NumStability.higham20GeneralRankCounterexampleB	_private.NumStability.Algorithms.LeastSquares.Higham20GeneralWedin.0.NumStability.higham20GeneralRankCounterexampleB	_private.NumStability.Source.Higham.Chapter20.Examples.GeneralRank.0.NumStability.higham20GeneralRankCounterexampleB
_private.NumStability.Algorithms.LeastSquares.Higham20GeneralWedin.NumStability.higham20GeneralRankCounterexampleBplus	_private.NumStability.Algorithms.LeastSquares.Higham20GeneralWedin.0.NumStability.higham20GeneralRankCounterexampleBplus	_private.NumStability.Source.Higham.Chapter20.Examples.GeneralRank.0.NumStability.higham20GeneralRankCounterexampleBplus
